"REF","Company (Manufacturer)","Company Location","Review Date","Country of Bean Origin","Specific Bean Origin or Bar Name","Cocoa Percent","Ingredient Nums","Ingredients","Most Memorable Characteristics","Rating"
2542,"5150","U.S.A.",2021,"India","Anamalai, batch 1",0.68,3,"Beans,Sugar,Cocoa Butter","milk brownie, macadamia,chewy",3.5
2546,"5150","U.S.A.",2021,"Uganda","Semuliki Forest, batch 1",0.8,3,"Beans,Sugar,Cocoa Butter","mildly bitter, basic cocoa, fatty",3.25
2542,"5150","U.S.A.",2021,"Fiji","Matasawalevu, batch 1",0.68,3,"Beans,Sugar,Cocoa Butter","chewy, off, rubbery",3
2546,"5150","U.S.A.",2021,"Venezuela","Sur del Lago, batch 1",0.72,3,"Beans,Sugar,Cocoa Butter","fatty, earthy, moss, nutty,chalky",3
2454,"5150","U.S.A.",2019,"Madagascar","Bejofo Estate, batch 1",0.76,3,"Beans,Sugar,Cocoa Butter","cocoa, blackberry, full body",3.75
2458,"5150","U.S.A.",2019,"Dominican Republic","Zorzal, batch 1",0.76,3,"Beans,Sugar,Cocoa Butter","cocoa, vegetal, savory",3.5
2454,"5150","U.S.A.",2019,"Tanzania","Kokoa Kamili, batch 1",0.76,3,"Beans,Sugar,Cocoa Butter","rich cocoa, fatty, bready",3.25
2808,"20N | 20S","France",2022,"Venezuela","Chuao, 2020 Harvest",0.78,2,"Beans,Sugar","sl. dry, fruit, cocoa, ham",3
2808,"20N | 20S","France",2022,"Venezuela","Chuao, 2018 Harvest",0.78,2,"Beans,Sugar","sandy, astringent, soil, grassy",2.75
2860,"2U","Japan",2023,"Vietnam","Ben Tre",0.7,3,"Beans,Sugar,Lecithin","tart, sour, rancid like",2.5
2712,"A. Morin","France",2022,"Indonesia","Java, Arjuna",0.7,3,"Beans,Sugar,Cocoa Butter","smoke dominates, hint of fruit",3.75
2712,"A. Morin","France",2022,"Peru","Cusco",0.7,3,"Beans,Sugar,Cocoa Butter","green banana, roasty, cocoa",3.5
2716,"A. Morin","France",2022,"Bolivia","Ekeko",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","woody, honey, leathery",2.75
2648,"A. Morin","France",2021,"Mexico","La Joya",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","light color, fruit, yogurt",4
2206,"A. Morin","France",2018,"Peru","Absolu",0.63,4,"Beans,Sugar,Cocoa Butter,Lecithin","sweet, dairy, spice, cocoa",3.75
2206,"A. Morin","France",2018,"Venezuela","Porcelana",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","alluring aroma, powdery,nutty",3.5
1876,"A. Morin","France",2016,"Sao Tome","Agua Grande",0.63,4,"Beans,Sugar,Cocoa Butter,Lecithin","sweet, chocolatey, vegetal",3.75
1680,"A. Morin","France",2015,"Togo","Akata",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","mild profile, chocolaty, spice",3.5
1704,"A. Morin","France",2015,"Peru","Quilla",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","grainy texture, cocoa, sweet",3.5
1676,"A. Morin","France",2015,"Togo","Atsane",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","roasty, acidic, nutty",3
1676,"A. Morin","France",2015,"Togo","Kpime",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","burnt wood, earthy, choco",2.75
1319,"A. Morin","France",2014,"Peru","Pablino",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","delicate, hazelnut, brownie",4
1319,"A. Morin","France",2014,"Venezuela","Puerto Cabello, Criollo",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","astringent, nutty, chocolatey",3.75
1315,"A. Morin","France",2014,"Cuba","Cuba",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","sliglty dry, papaya",3.5
1315,"A. Morin","France",2014,"Venezuela","Sur del Lago, Criollo",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","nutty, mild choco, roasty",3.5
1315,"A. Morin","France",2014,"Venezuela","Carenero, Criollo",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","harsh, leather, earthy",2.75
1015,"A. Morin","France",2013,"Venezuela","Chuao",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","oily, nut, caramel, raspberry",4
1019,"A. Morin","France",2013,"Peru","Chanchamayo Province",0.63,3,"Beans,Sugar,Cocoa Butter","sweet, cocoa, tangerine",4
1011,"A. Morin","France",2013,"Ecuador","Equateur",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","sandy, nutty, cocoa, fig",3.75
1019,"A. Morin","France",2013,"Peru","Chanchamayo Province",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","cocoa,sour,intense tangerine",3.5
1011,"A. Morin","France",2013,"Brazil","Brazil",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","mild tobacco",3.25
1015,"A. Morin","France",2013,"Papua New Guinea","Papua New Guinea",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","mild fruit, strong smoke",3.25
1019,"A. Morin","France",2013,"Peru","Piura",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","green, nutty, cocoa",3.25
1011,"A. Morin","France",2013,"Madagascar","Madagascar, Criollo",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","sticky, red fruit, sour",3
1015,"A. Morin","France",2013,"Burma","Birmanie",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","sticky, smokey, grass",3
1011,"A. Morin","France",2013,"Panama","Panama",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","brief fruit note, earthy, nutty",2.75
1015,"A. Morin","France",2013,"Colombia","Colombie",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","burnt rubber,alkalyzed notes",2.75
797,"A. Morin","France",2012,"Peru","Peru",0.63,4,"Beans,Sugar,Cocoa Butter,Lecithin","fruity, melon, roasty",3.75
797,"A. Morin","France",2012,"Bolivia","Bolivia",0.7,4,"Beans,Sugar,Cocoa Butter,Lecithin","vegetal, nutty",3.5
2470,"Acalli","U.S.A.",2020,"Peru","Barataria, El Plantal and Norandino Tumbes blend",0.7,2,"Beans,Sugar","hot cocoa, rich, molasses",3.5
2462,"Acalli","U.S.A.",2020,"Mexico","Teapa, Tabasco, batch 2",0.74,2,"Beans,Sugar","herbal, molasses, hammy",3.25
1462,"Acalli","U.S.A.",2015,"Peru","Chulucanas, El Platanal, batch 001",0.7,2,"Beans,Sugar","yellow fruit",3.75
1470,"Acalli","U.S.A.",2015,"Peru","Tumbes, Norandino",0.7,2,"Beans,Sugar","intense, nutty, cherry, cocoa",3.75
705,"Adi aka Fijiana (Easy In Ltd)","Fiji",2011,"Fiji","Vanua Levu",0.88,3,"Beans,Sugar,Cocoa Butter","orange, floral, lemon",3.5
705,"Adi aka Fijiana (Easy In Ltd)","Fiji",2011,"Fiji","Vanua Levu, Ami-Ami-CA",0.72,3,"Beans,Sugar,Cocoa Butter","cocoa and powerful tang",3.5
705,"Adi aka Fijiana (Easy In Ltd)","Fiji",2011,"Fiji","Vanua Levu, Toto-A",0.8,3,"Beans,Sugar,Cocoa Butter","spicy and candy-like",3.25
705,"Adi aka Fijiana (Easy In Ltd)","Fiji",2011,"Fiji","Vanua Levu",0.6,3,"Beans,Sugar,Cocoa Butter","sweet, sublte strawberry",2.75
2438,"Aelan","Vanuatu",2019,"Vanuatu","EPI Island, batch E 11/19",0.7,2,"Beans,Sugar","sandy, woody, spicy, sweet",3
2438,"Aelan","Vanuatu",2019,"Vanuatu","Malo Island, batch Ma20/19",0.7,2,"Beans,Sugar","basic, sweet, cocoa, woody",2.75
2442,"Aelan","Vanuatu",2019,"Vanuatu","Santo Island, batch S15/19",0.7,2,"Beans,Sugar","sweet, cocoa, rubbery",2.75
2438,"Aelan","Vanuatu",2019,"Vanuatu","Malekula Island, batch M10/19",0.7,2,"Beans,Sugar","unrefined, sweet, metallic",2.5
370,"Aequare (Gianduja)","Ecuador",2009,"Ecuador","Los Rios, Quevedo, Arriba",0.7,4,"Beans,Sugar,Cocoa Butter,Vanilla","roasty, nutty, coffee",3
